game_tag,timestamp,inning,half,event,mlb_event,market_type,market_label,market_ticker,entry_price,sell_target,predicted_delta,ev_per_contract,contracts,budget,pnl_per_contract,filled,pnl
823808 WSH@MIL,2026-04-11T02:28:59.371Z,9,bot,OUT,Groundout,over_under,O/U 10.5 (dynamic),KXMLBTOTAL-26APR101940WSHMIL-11,0.31,0.2412,-0.1147,0.0688,1612,500.0,0.0688,True,110.91
823808 WSH@MIL,2026-04-11T02:31:26.199Z,9,bot,K,Strikeout,over_under,O/U 10.5 (dynamic),KXMLBTOTAL-26APR101940WSHMIL-11,0.19,0.135,-0.0917,0.055,2631,500.0,0.055,True,144.71
823808 WSH@MIL,2026-04-11T02:32:22.011Z,9,bot,OUT,Groundout,over_under,O/U 10.5 (dynamic),KXMLBTOTAL-26APR101940WSHMIL-11,0.12,0.0802,-0.0663,0.0398,4166,500.0,0.0398,True,165.81
823076 BOS@STL,2026-04-11T00:15:37.328Z,1,top,OUT,Groundout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.45,0.4655,0.0258,0.0155,1111,500.0,-0.01,False,-11.11
823076 BOS@STL,2026-04-11T00:17:06.351Z,1,top,OUT,Groundout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.45,0.4606,0.0177,0.0106,1111,500.0,0.0,False,0.0
823076 BOS@STL,2026-04-11T00:24:00.498Z,1,bot,OUT,Flyout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.48,0.464,-0.0267,0.016,1041,500.0,-0.01,False,-10.41
823076 BOS@STL,2026-04-11T00:25:41.455Z,1,bot,1B,Single,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.47,0.4895,0.0325,0.0195,1063,500.0,0.0195,True,20.73
823076 BOS@STL,2026-04-11T00:26:49.591Z,1,bot,OUT,Forceout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.51,0.4964,-0.0226,0.0136,980,500.0,0.0136,True,13.33
823076 BOS@STL,2026-04-11T00:32:11.912Z,2,top,1B,Single,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.46,0.4397,-0.0339,0.0203,1086,500.0,0.0203,True,22.05
823076 BOS@STL,2026-04-11T00:33:02.434Z,2,top,K,Strikeout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.46,0.4739,0.0232,0.0139,1086,500.0,-0.04,False,-43.44
823076 BOS@STL,2026-04-11T00:36:22.338Z,2,top,OUT,Flyout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.42,0.4309,0.0182,0.0109,1190,500.0,0.0109,True,12.97
823076 BOS@STL,2026-04-11T00:40:59.164Z,2,bot,2B,Double,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.32,0.361,0.0683,0.041,1562,500.0,0.0,False,0.0
823076 BOS@STL,2026-04-11T00:42:22.934Z,2,bot,BB,Walk,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.32,0.3447,0.0411,0.0247,1562,500.0,0.0246,True,38.43
823076 BOS@STL,2026-04-11T00:44:46.010Z,2,bot,1B,Single,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.39,0.4701,0.1335,0.0801,1282,500.0,0.0,False,0.0
823076 BOS@STL,2026-04-11T00:45:30.688Z,2,bot,K,Strikeout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.6,0.5845,-0.0258,0.0155,833,500.0,-0.01,False,-8.33
823076 BOS@STL,2026-04-11T00:47:53.417Z,2,bot,OUT,Sac Fly,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.62,0.6428,0.038,0.0228,806,500.0,0.0228,True,18.38
823076 BOS@STL,2026-04-11T00:50:13.245Z,2,bot,BB,Walk,spread,SPR -1.5 (dynamic),KXMLBSPREAD-26APR102015BOSSTL-STL2,0.41,0.4297,0.0329,0.0197,1219,500.0,0.0197,True,24.01
823076 BOS@STL,2026-04-11T00:56:27.000Z,3,top,OUT,Groundout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.59,0.6043,0.0238,0.0143,847,500.0,0.0143,True,12.11
823076 BOS@STL,2026-04-11T00:57:05.300Z,3,top,OUT,Groundout,moneyline,ML STL,KXMLBGAME-26APR102015BOSSTL-STL,0.59,0.6006,0.0176,0.0106,847,500.0,0.0106,True,8.98
